,Feature Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,mean,std
21,volumecc15b,-2.3411786145703437,-1.8924369028204495,-8.073865526699178,-5.363037435301287,-1.8045819543350474,-3.360133749749841,-3.6836876300257466,-2.860574173597432,-0.8880251772968699,-4.704015253682767,-0.9135176858194282,-5.9368244502111205,-2.802084920025285,-2.1726515602209733,-3.0477721928914883,-1.3146683766971987,-0.7312025667232521,-2.385049964334078,-1.7014890460938419,-5.643972230641532,-3.496941363986182,-2.9619855057701954,-4.996353208815913,-4.6781004626450144,-1.2201271682726234,-3.8288875122834343,-0.3493112244331315,-4.969620243671438,-4.667401087524942,-1.304829509302412,-5.282541872350182,-3.947665438040506,-1.9334152550969128,-3.400677124564448,-5.906908958080416,-2.2310341480082254,-1.3217636668324835,-3.2508911584038227,-2.688067173016564,-5.617200063195108,-4.79038298385002,-2.823743027727376,-2.431140669943834,-4.795350938357354,-2.8252074874398687,-0.16124168949081188,-5.825778491317721,-3.8462912905755746,-6.248476250519241,-2.8879173589850002,-3.3262004348847585,1.764666424051803
88,surfaceareamm215c,-2.9311388990537597,-5.526373670397504,-1.7170204766696107,-4.899125445332169,-3.025730564650806,-1.43247155563195,-3.6897218980704185,-4.185614147293292,-6.372460322512287,-1.7838314603344356,-3.725287538838138,-6.050482073742959,-3.5359989731489287,-4.659275731054686,-2.7883370398293317,-4.214824184386365,-3.193602311333358,-0.765453870688753,-2.2947612973158362,-3.509152372556747,-3.480237793358785,-0.5062975832804897,-5.387590464979786,-3.3399841754713244,-2.963281960230666,-3.2570526499969,-1.8505751725388837,-1.6927016868756568,-3.572875483725654,-2.8265718527165213,-0.2573146942166415,-3.4489748047773827,-1.7432656153818313,-3.5318903589093282,-6.886357581175384,-4.125890470648564,-4.115655637703428,-2.8296755441983388,0.49128773763854094,-3.034025228580893,-1.4623391291776584,-3.7090530181183183,-2.7034844589782443,-1.2035931340066726,-7.801226299599649,-3.4308956255155376,-2.0050612464539013,-3.703015385671995,-3.36104044423775,-1.308915401024708,-3.1869643799350733,1.65106322036165
112,sumaverage15c,-3.785255474684445,-6.383331866333537,-2.916406224143801,-0.28241373309865647,-3.8189032790630884,-1.0038794536627964,-4.628212876501719,-2.4899839459455673,-5.089363298511876,-3.871476766258218,-2.0057616549797403,-3.0895455192179466,-5.882881529098436,-2.6291838114507575,-2.5317242857361313,-2.8225199405278234,-2.316821448183184,-1.35089573806918,-1.5758334384609074,-2.017327176122449,-1.9627407756150506,-5.248225329337787,0.4110096737345126,0.8494467474349543,-6.301731242357686,-6.241094396332462,-0.9787968701495914,-4.201324585468654,0.31095450656798673,-3.3115608445845615,-2.8602115843528915,-5.085661277345514,1.6446710045343715,-3.338754748853943,-4.342597725626802,-4.0101217624584455,-3.47773696451979,-7.307806030291853,-2.293712435778246,-3.533160427749393,-3.1377719797749877,-1.7965447784581259,-2.7726986164585976,-5.3498179048208945,-3.173450429594289,-2.3324244023058114,-3.4585224883019614,-6.30639936777652,-1.5381761733792976,-4.652942519542576,-3.1257925037802834,1.9482619701231445
56,hglre15b,-2.2022791929338217,-2.660900174930913,-1.9606023707283082,-5.759618516826555,-4.062143356671485,-2.0451824243329733,0.34081963285514916,-3.18874472173692,-1.3728301364009123,-5.477095767514207,-3.271956094733741,-5.81090136956983,-7.565684937381816,-3.0814456730385853,2.9552652867498477,-0.8408516737373041,-2.1042513148656696,-5.081572869445315,-1.0552258331745499,-6.24175377275459,-6.306062679677448,-3.278032332500495,1.7723880873869842,-4.145613576858343,-1.4036631109636337,-3.4909413296819825,-1.4387281816807451,-2.2086146524208043,-4.39588435409336,-2.841870878946173,-4.815191668575375,-1.589860776009696,-0.6062433978777242,-5.360013539575261,-1.5460143319411355,-0.28877321242401943,-6.9564319801744805,-2.691869851165718,0.19063493017288646,-5.672094193864188,-5.404162834965132,-0.06668927687432263,-4.521331799302124,0.6403058241945541,-4.4996628616714425,-1.0848977238082669,-5.9118046991199344,-3.7267301960489316,-2.2612800350226347,-4.106906739951347,-2.970059933092255,2.317269471010032
76,rootmeansquare15c,-1.8968239921109278,-2.2417612971465437,-4.380047344005861,-3.753634924048234,-3.0915913402800705,-1.0151483247714834,-2.8747955894689246,-1.0412681464089844,-2.4757378032701127,-3.218731604638031,-1.7868315765249425,-3.9548398101640854,-5.079370390595101,-1.2540201180648354,-4.237421121575428,-2.8285710127480956,-1.1229187739232083,-2.761251130728332,-0.5572800666781454,-1.4622618948112263,-3.0508902477770437,-3.8790554849722554,-5.1006838812191315,-3.4521538556253604,-0.6922929480881266,-2.251031043407404,-1.0881115556332188,-3.7091661065608776,-2.5860223640202937,-1.0877626119909878,-0.5811776073709954,-3.8260428041040737,-0.702917125981667,-4.487600969995716,-3.932702917336448,-0.8845057961496061,-3.630756615596703,-4.140361596024781,0.41778080186404476,-2.1111760412584517,-3.898864066634023,-4.433771122347186,-3.9508212026415093,-2.253139363986142,-1.6615291823079454,-1.0114414185938927,-4.663295801997691,-2.5152701272649893,-4.176988913070906,-3.0453331757445796,-2.6684278281560108,1.3955766530387692
32,clustertendency15b,-3.0080446351916543,-0.8451550730602311,-6.373416048603685,-3.376619590161298,3.8405911330121123,-0.6360463863611953,-4.989469087385306,-2.6811806829977853,-3.066901853145279,-7.308723846352792,-3.615467325217525,2.638978887562707,-2.1959630516038935,-5.181612579970698,-2.9429798056809884,-3.447544931299198,-1.0549978146034626,2.5685193315420527,-2.280983033281657,-6.954921777847981,0.8176100046972531,-5.487238345078199,-0.22737694628827637,-7.465967036271443,-1.1689892443303027,-0.6910981631234485,-3.4616841047009412,-7.148679528768635,3.596730004988121,-3.196309405005462,-6.137992521701245,-2.041476445719228,-1.3909827101111467,-4.868088971289732,-0.4166695130307622,-2.6231958368039137,3.55520779673041,-5.79579452218756,-2.184992012162654,-6.738014879495576,-5.505636860722551,-4.551474792135245,2.090848350885504,-4.467465122834407,-2.1789952293342605,-3.050234532023592,-2.930325346138321,-3.122460272067857,-0.6871298704940709,-3.4993857788704195,-2.6377840000807145,2.910477399942845
83,laa950perc15c,-2.1204234975279532,-4.580202243713321,-4.04114417821005,-3.342423260998159,-1.2368495941546132,-2.2031950782804595,-1.2741935241681832,-2.182330234229723,-1.8594947741038284,-4.534477167497449,-1.8218990438853753,-3.9373558202189947,-1.6557606927285753,-2.004880284101367,-4.591845167723248,-2.9264424271916467,-1.6302008376932544,-1.5279579622807353,-1.7297231987134716,-2.255082940180286,-3.8218157830314765,0.062078746444378295,-5.040850020628836,-1.370646382417425,-3.5237034020648457,-2.134590733758496,-0.07597800042973445,-3.1135786746443572,-2.5404723047950717,-2.970045636866557,-2.9930273896826884,-4.155939938621308,-1.9189849950920972,-2.244552098098224,-1.1619676886295864,-2.630362190344121,-2.929111208192502,-2.5001060861076616,-2.7171990606120238,-2.23589738690289,-2.6909381503527574,-2.8894912942152575,-3.2974729360156294,-3.4255597618041365,-2.6415997281713777,-3.863111946345929,-2.221583894298497,-1.059456108229226,-1.8200177822368873,-4.269284934653951,-2.593022973967997,1.1300978666643422
9,meandeviation15b,-4.305052410546783,-2.8501512599970216,1.0012944724697692,0.16739112534888134,-7.1172026569304885,-5.5525101150213665,-1.8656358753040718,-0.4576511030802257,-3.488239386850115,-1.6493164895995132,-3.1167265608988797,-1.1889570877051483,-3.524158198356936,-3.8063488992171455,-2.0488702103671597,-3.055611389732196,-3.5530830197436942,-1.20269350785464,-1.4583976760573247,-0.0953563266004136,-3.4427926586742967,0.08919796958345803,-5.803199397797261,-0.580064504426208,-1.684370185576116,-3.077377463713169,-2.4378978931002178,-2.3835035976247707,-2.863830176022148,-2.3509239863406077,-2.4101146163092024,-5.490334975951198,-4.920708326730751,-3.0726695963004897,-0.6906204315510007,-1.2919458921586064,-0.7922660354060082,-3.2821221421538027,-5.187522134638515,-3.4000143824324067,-2.216330988865863,-4.367741196909761,-1.3943252101405383,-1.3637571677816323,-1.7993836161801648,-5.3031103373291035,-2.419289209664251,-1.0767320149978201,-3.7828236525385432,-0.5755386679315291,-2.5707877813141398,1.7380773732698258
43,idn15b,-1.5070865589948677,-1.7076862382739577,-2.7043445849796495,-3.16437122893218,-1.8810672616405566,-4.4326661788670645,-2.10508446626988,-2.9145998152627492,-0.0742368328170191,-3.1566780135752808,-3.328228169826613,-0.48828149494994444,-2.6083042769950415,-2.792673758931504,-2.2691897278840942,-1.436386175149771,-0.3141711202399134,-4.329518067905453,-0.9021086882561208,-4.157659733137824,-0.6900657996995643,-1.5161998435967086,-2.8586169498022587,-5.816224146892194,-2.034391561489864,-2.5259348492483387,-0.6845340283563174,-4.221779586052851,-4.54704628288708,-2.7839396151354565,-2.2235243131771645,-3.002178844635457,-1.9447394955295516,-2.1348475292637703,-4.004352323410498,-2.6312341755342827,-1.4105425383205208,-3.2870130612320443,-3.484029648833561,-1.2476597776568827,-4.549769745461483,-2.1754177438043465,-1.0445995549168665,-1.8297317282700807,-3.070433561338195,-3.394778494776424,-0.02537259771946707,-0.7322085524460438,-3.0339393939339674,-6.120112341801147,-2.5059912095622376,1.3888798196034435
42,idmn15b,-1.5070865589948677,-1.7076862382739577,-2.7043445849796495,-3.16437122893218,-1.8810672616405566,-4.4326661788670645,-2.10508446626988,-2.9145998152627492,-0.0742368328170191,-3.1566780135752808,-3.328228169826613,-0.48828149494994444,-2.6083042769950415,-2.792673758931504,-2.2691897278840942,-1.436386175149771,-0.3141711202399134,-4.329518067905453,-0.9021086882561208,-4.157659733137824,-0.6900657996995643,-1.5161998435967086,-2.8586169498022587,-5.816224146892194,-2.034391561489864,-2.5259348492483387,-0.6845340283563174,-4.221779586052851,-4.54704628288708,-2.7839396151354565,-2.2235243131771645,-3.002178844635457,-1.9447394955295516,-2.1348475292637703,-4.004352323410498,-2.6312341755342827,-1.4105425383205208,-3.2870130612320443,-3.484029648833561,-1.2476597776568827,-4.549769745461483,-2.1754177438043465,-1.0445995549168665,-1.8297317282700807,-3.070433561338195,-3.394778494776424,-0.02537259771946707,-0.7322085524460438,-3.0339393939339674,-6.120112341801147,-2.5059912095622376,1.3888798196034435
26,maximum3ddiameter15b,-1.9098640063409587,-2.619343401864196,-2.1388287745063286,-1.9236000045846635,-3.188331142131617,-1.7171512884680624,-1.7858087230787656,-2.954450285261231,-3.51411056315321,-1.4272914157922878,-1.7327982934248904,-2.68606552259776,-2.513131346301468,-1.7121207172685755,-2.3774181105053316,-1.7840108271840247,-2.2723198832852254,-2.2415749679778445,-1.814401816888083,-2.0369512688938585,-2.9943101736398443,-1.5661913501747153,-4.099153460373458,-1.5246797318573397,-2.188350434882551,-3.0824357586815805,-1.3404984404467848,-2.5389885063966062,-2.7716273079928913,-1.830385659856894,-2.0348110641767105,-3.015636738138798,-1.977735594519389,-2.3274463315455023,-2.303109645442845,-2.38745451137684,-2.708286907731924,-2.2535674382555912,-1.5181246926584073,-3.231567851954267,-2.595610227671602,-1.9660875952788501,-1.8575382838714702,-2.644910130601204,-3.3060165717316234,-3.040670592037401,-2.2394830266310524,-2.8824031655532423,-1.8968101555557835,-1.511672130693931,-2.3197027167847497,0.6058179739617782
55,lglre15b,-0.020473782977308033,-4.878140536087176,-5.255865270679955,-1.621225085679022,-4.650721713016979,-3.2728501561377885,-4.044831811823828,0.7024994231362243,-6.580595972541005,-2.545278145908064,-2.591806075516632,-6.216976789699826,-0.4490754676454547,0.4752154518117706,0.48828256713878204,-3.3948051588505015,-0.7655953602567412,-5.826274131558816,0.2372894029714505,-2.134819905949769,1.3642805687064168,-2.1732222281840685,-2.295172401113007,-2.964772034379301,-2.093008978985523,0.9507563499456758,1.029976750296298,-3.086772239551607,-5.438318704473272,-4.053369281135964,-3.598953355285681,-0.6407234880568063,0.7964384843378833,-2.40663168304593,-2.929904526488066,-1.2162208157782521,-3.0947038689690074,-1.0993412311300805,-2.649877972830371,-7.628536533240105,-0.6252100006160087,-4.866818904068802,-3.2610006184109324,-3.0069141016198557,-1.0368596733427147,1.545107300500117,-1.1282019564301697,-4.763356098246206,-1.3464093786105593,-0.0713918275347396,-2.2827036193402255,2.2385930342680807
24,compactness115b,-3.2836601774580636,-1.339759439703321,-1.7340520992430737,-2.327553527918195,-3.189971897470974,-0.617274021257604,-3.5206313743419115,-3.1536629626503667,-4.7457736277785605,-0.2515232824422067,-4.370406561824355,-0.25392105755720007,-0.8142947592768537,-3.5504934247500572,-1.8887522539680723,-3.355975482810649,-3.1655834415237627,-3.538357714937041,-1.8623146903392902,-1.0917630736851034,-2.6362515935551087,-2.8331081356093955,-4.377399190121468,-2.6548176424806127,-0.9954423752922364,-3.0624295844510065,-1.577164278911471,-0.5571630061813717,-3.414484499880777,-1.7179191447322537,-0.23418572878512722,-1.360430435570501,-4.264463823075429,0.19247629419272744,-2.1327325005866737,-1.3684075733360042,-2.979541717881696,-3.8674722226738596,-2.6736697557420404,-0.5274837871221532,-0.7181909080305429,0.3434529006248218,-2.694376130271374,-2.5567440761977758,-5.605972775479851,-4.1409664585566635,-0.24168716630665688,-2.3827917021266676,-0.4207357870384835,-2.6137156398172725,-2.2425908663186713,1.4283772135285855
